"date","game_pk","day_night","team","win_indicator","league","division"
"2023-05-21",718088,"day","Chicago Cubs",0,"National League","NL Central"
"2023-05-21",718090,"day","Seattle Mariners",0,"American League","AL West"
"2023-05-21",718087,"day","Baltimore Orioles",1,"American League","AL East"
"2023-05-21",718099,"day","Cleveland Guardians",0,"American League","AL Central"
"2023-05-21",718082,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-05-21",718081,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-05-21",718086,"day","Oakland Athletics",0,"American League","AL West"
"2023-05-21",718084,"day","Kansas City Royals",0,"American League","AL Central"
"2023-05-21",718083,"day","Los Angeles Dodgers",0,"National League","NL West"
"2023-05-21",718076,"day","Colorado Rockies",0,"National League","NL West"
"2023-05-21",718078,"day","Miami Marlins",0,"National League","NL East"
"2023-05-21",718080,"day","Minnesota Twins",0,"American League","AL Central"
"2023-05-21",718079,"day","Boston Red Sox",0,"American League","AL East"
"2023-05-22",718072,"night","Chicago White Sox",0,"American League","AL Central"
"2023-05-22",718075,"night","Texas Rangers",0,"American League","AL West"
"2023-05-22",718071,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-05-22",718077,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-05-22",718073,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-05-22",718074,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-05-22",718066,"night","Detroit Tigers",1,"American League","AL Central"
"2023-05-22",718067,"night","San Francisco Giants",1,"National League","NL West"
"2023-05-22",718068,"night","Houston Astros",1,"American League","AL West"
"2023-05-22",718069,"night","Miami Marlins",0,"National League","NL East"
"2023-05-22",718070,"night","Boston Red Sox",0,"American League","AL East"
"2023-05-22",718062,"night","Oakland Athletics",0,"American League","AL West"
"2023-05-23",718063,"night","Chicago White Sox",1,"American League","AL Central"
"2023-05-23",718065,"night","Texas Rangers",1,"American League","AL West"
"2023-05-23",718059,"night","St. Louis Cardinals",1,"National League","NL Central"
"2023-05-23",718061,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-05-23",718060,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-05-23",718064,"night","San Diego Padres",1,"National League","NL West"
"2023-05-23",718058,"night","Baltimore Orioles",0,"American League","AL East"
"2023-05-23",718057,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-05-23",718049,"night","Detroit Tigers",0,"American League","AL Central"
"2023-05-23",718055,"night","New York Mets",0,"National League","NL East"
"2023-05-23",718054,"night","San Francisco Giants",1,"National League","NL West"
"2023-05-23",718056,"night","Houston Astros",0,"American League","AL West"
"2023-05-23",718051,"night","Miami Marlins",0,"National League","NL East"
"2023-05-23",718053,"night","Boston Red Sox",0,"American League","AL East"
"2023-05-23",718050,"night","Oakland Athletics",0,"American League","AL West"
"2023-05-24",718045,"day","Texas Rangers",1,"American League","AL West"
"2023-05-24",718043,"day","Arizona Diamondbacks",0,"National League","NL West"
"2023-05-24",718047,"day","San Francisco Giants",0,"National League","NL West"
"2023-05-24",718048,"day","Chicago White Sox",1,"American League","AL Central"
"2023-05-24",718046,"day","Houston Astros",0,"American League","AL West"
"2023-05-24",718041,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-05-24",718044,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-05-24",718052,"night","San Diego Padres",0,"National League","NL West"
"2023-05-24",718040,"night","Baltimore Orioles",1,"American League","AL East"
"2023-05-24",718042,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-05-24",718039,"night","Detroit Tigers",1,"American League","AL Central"
"2023-05-24",718038,"night","New York Mets",0,"National League","NL East"
"2023-05-24",718036,"night","Miami Marlins",1,"National League","NL East"
"2023-05-24",718034,"night","Boston Red Sox",0,"American League","AL East"
"2023-05-24",718037,"night","Oakland Athletics",0,"American League","AL West"
"2023-05-25",718030,"day","St. Louis Cardinals",1,"National League","NL Central"
"2023-05-25",718032,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-05-25",718033,"day","Miami Marlins",0,"National League","NL East"
"2023-05-25",718035,"day","San Diego Padres",1,"National League","NL West"
"2023-05-25",718031,"night","Chicago White Sox",0,"American League","AL Central"
"2023-05-25",718029,"night","Baltimore Orioles",1,"American League","AL East"
"2023-05-25",718026,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-05-25",718024,"night","New York Mets",1,"National League","NL East"
"2023-05-25",718028,"night","San Francisco Giants",1,"National League","NL West"
"2023-05-25",718025,"night","Oakland Athletics",0,"American League","AL West"
"2023-05-26",718027,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-05-26",718018,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-05-26",718021,"night","Chicago White Sox",1,"American League","AL Central"
"2023-05-26",718020,"night","Texas Rangers",1,"American League","AL West"
"2023-05-26",718023,"night","San Diego Padres",1,"National League","NL West"
"2023-05-26",718022,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-05-26",718019,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-05-26",718014,"night","Washington Nationals",1,"National League","NL East"
"2023-05-26",718013,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-05-26",718017,"night","San Francisco Giants",1,"National League","NL West"
"2023-05-26",718016,"night","New York Mets",1,"National League","NL East"
"2023-05-26",718015,"night","Miami Marlins",1,"National League","NL East"
"2023-05-26",718010,"night","Boston Red Sox",1,"American League","AL East"
"2023-05-26",718009,"night","Houston Astros",1,"American League","AL West"
"2023-05-26",718012,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-05-27",718006,"day","San Diego Padres",0,"National League","NL West"
"2023-05-27",718005,"day","Chicago White Sox",0,"American League","AL Central"
"2023-05-27",718008,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-05-27",718001,"day","Texas Rangers",1,"American League","AL West"
"2023-05-27",718003,"day","Houston Astros",1,"American League","AL West"
"2023-05-27",718000,"day","Washington Nationals",1,"National League","NL East"
"2023-05-27",718004,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-05-27",718002,"day","Los Angeles Dodgers",1,"National League","NL West"
"2023-05-27",717997,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-05-27",717999,"day","San Francisco Giants",1,"National League","NL West"
"2023-05-27",717991,"day","Boston Red Sox",1,"American League","AL East"
"2023-05-27",718007,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-05-27",717996,"night","St. Louis Cardinals",1,"National League","NL Central"
"2023-05-27",718011,"night","New York Mets",0,"National League","NL East"
"2023-05-27",717998,"night","Miami Marlins",1,"National League","NL East"
"2023-05-28",717994,"day","Los Angeles Dodgers",0,"National League","NL West"
"2023-05-28",717990,"day","Texas Rangers",0,"American League","AL West"
"2023-05-28",717995,"day","San Diego Padres",0,"National League","NL West"
"2023-05-28",717993,"day","St. Louis Cardinals",0,"National League","NL Central"
"2023-05-28",717989,"day","Chicago White Sox",0,"American League","AL Central"
"2023-05-28",717985,"day","Washington Nationals",0,"National League","NL East"
"2023-05-28",717988,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-05-28",717986,"day","San Francisco Giants",0,"National League","NL West"
"2023-05-28",717987,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-05-28",717982,"day","New York Mets",0,"National League","NL East"
"2023-05-28",717980,"day","Houston Astros",1,"American League","AL West"
"2023-05-28",717984,"day","Miami Marlins",1,"National League","NL East"
"2023-05-28",717981,"day","Boston Red Sox",0,"American League","AL East"
"2023-05-28",717983,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-05-28",717992,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-05-29",717974,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-05-29",717979,"day","Texas Rangers",1,"American League","AL West"
"2023-05-29",717975,"day","Kansas City Royals",1,"American League","AL Central"
"2023-05-29",717976,"day","Tampa Bay Rays",0,"American League","AL East"
"2023-05-29",717977,"day","Colorado Rockies",0,"National League","NL West"
"2023-05-29",717968,"day","Minnesota Twins",1,"American League","AL Central"
"2023-05-29",717978,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-05-29",717970,"night","Atlanta Braves",0,"National League","NL East"
"2023-05-29",717971,"night","Los Angeles Angels",1,"American League","AL West"
"2023-05-29",717973,"night","Washington Nationals",0,"National League","NL East"
"2023-05-29",717969,"night","New York Yankees",1,"American League","AL East"
"2023-05-30",717964,"night","Texas Rangers",1,"American League","AL West"
"2023-05-30",717963,"night","San Diego Padres",1,"National League","NL West"
"2023-05-30",717967,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-05-30",717965,"night","Milwaukee Brewers",0,"National League","NL Central"
"2023-05-30",717966,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-05-30",717962,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-05-30",717960,"night","Kansas City Royals",0,"American League","AL Central"
"2023-05-30",717961,"night","Tampa Bay Rays",0,"American League","AL East"
"2023-05-30",717956,"night","Minnesota Twins",0,"American League","AL Central"
"2023-05-30",717959,"night","Los Angeles Angels",0,"American League","AL West"
"2023-05-30",717955,"night","Colorado Rockies",0,"National League","NL West"
"2023-05-30",717958,"night","Atlanta Braves",0,"National League","NL East"
"2023-05-30",717952,"night","New York Yankees",1,"American League","AL East"
"2023-05-30",717972,"night","Pittsburgh Pirates",1,"National League","NL Central"
"2023-05-30",717957,"night","Washington Nationals",0,"National League","NL East"
"2023-05-31",717951,"day","Texas Rangers",0,"American League","AL West"
"2023-05-31",717943,"day","Los Angeles Angels",1,"American League","AL West"
"2023-05-31",717950,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-05-31",717946,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-05-31",717949,"day","Atlanta Braves",1,"National League","NL East"
"2023-05-31",717953,"day","Pittsburgh Pirates",1,"National League","NL Central"
"2023-05-31",717954,"day","Washington Nationals",1,"National League","NL East"
"2023-05-31",717945,"night","San Diego Padres",0,"National League","NL West"
"2023-05-31",717947,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-05-31",717948,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-05-31",717944,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-05-31",717938,"night","Minnesota Twins",1,"American League","AL Central"
"2023-05-31",717940,"night","Colorado Rockies",0,"National League","NL West"
"2023-05-31",717939,"night","New York Yankees",0,"American League","AL East"
"2023-06-01",717942,"day","Milwaukee Brewers",0,"National League","NL Central"
"2023-06-01",717934,"day","Philadelphia Phillies",0,"National League","NL East"
"2023-06-01",717941,"day","San Diego Padres",1,"National League","NL West"
"2023-06-01",717933,"day","Colorado Rockies",0,"National League","NL West"
"2023-06-01",717932,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-06-01",717937,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-01",717936,"night","Los Angeles Angels",0,"American League","AL West"
"2023-06-02",717931,"night","Milwaukee Brewers",1,"National League","NL Central"
"2023-06-02",717927,"night","Oakland Athletics",0,"American League","AL West"
"2023-06-02",717930,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-02",717935,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-06-02",717929,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-06-02",717922,"night","Seattle Mariners",0,"American League","AL West"
"2023-06-02",717926,"night","Los Angeles Angels",0,"American League","AL West"
"2023-06-02",717923,"night","Colorado Rockies",1,"National League","NL West"
"2023-06-02",717924,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-02",717925,"night","Detroit Tigers",0,"American League","AL Central"
"2023-06-02",717921,"night","Chicago Cubs",1,"National League","NL Central"
"2023-06-02",717919,"night","Atlanta Braves",0,"National League","NL East"
"2023-06-02",717917,"night","New York Yankees",0,"American League","AL East"
"2023-06-02",717920,"night","Baltimore Orioles",1,"American League","AL East"
"2023-06-03",717918,"day","Tampa Bay Rays",0,"American League","AL East"
"2023-06-03",717885,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-06-03",717915,"day","Detroit Tigers",0,"American League","AL Central"
"2023-06-03",717907,"day","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-03",717912,"day","Seattle Mariners",0,"American League","AL West"
"2023-06-03",717914,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-06-03",717908,"day","Los Angeles Angels",0,"American League","AL West"
"2023-06-03",717909,"day","Colorado Rockies",1,"National League","NL West"
"2023-06-03",717910,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-06-03",717911,"day","Oakland Athletics",0,"American League","AL West"
"2023-06-03",717906,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-06-03",717913,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-06-03",717905,"day","New York Yankees",1,"American League","AL East"
"2023-06-03",717916,"night","Baltimore Orioles",0,"American League","AL East"
"2023-06-03",717903,"night","Chicago Cubs",0,"National League","NL Central"
"2023-06-03",717901,"night","Atlanta Braves",1,"National League","NL East"
"2023-06-04",717898,"day","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-04",717904,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-06-04",717902,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-06-04",717900,"day","Toronto Blue Jays",1,"American League","AL East"
"2023-06-04",717896,"day","Oakland Athletics",0,"American League","AL West"
"2023-06-04",717897,"day","Milwaukee Brewers",1,"National League","NL Central"
"2023-06-04",717899,"day","Los Angeles Angels",1,"American League","AL West"
"2023-06-04",717893,"day","Colorado Rockies",0,"National League","NL West"
"2023-06-04",717895,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-06-04",717891,"day","Detroit Tigers",0,"American League","AL Central"
"2023-06-04",717894,"day","Seattle Mariners",0,"American League","AL West"
"2023-06-04",717890,"day","Baltimore Orioles",1,"American League","AL East"
"2023-06-04",717892,"day","Atlanta Braves",1,"National League","NL East"
"2023-06-04",717889,"day","Chicago Cubs",1,"National League","NL Central"
"2023-06-04",717888,"day","New York Yankees",1,"American League","AL East"
"2023-06-05",717928,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-06-05",717886,"night","Detroit Tigers",0,"American League","AL Central"
"2023-06-05",717887,"night","Kansas City Royals",0,"American League","AL Central"
"2023-06-05",717884,"night","Oakland Athletics",0,"American League","AL West"
"2023-06-05",717878,"night","Houston Astros",1,"American League","AL West"
"2023-06-05",717883,"night","Milwaukee Brewers",0,"National League","NL Central"
"2023-06-05",717879,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-05",717880,"night","Chicago Cubs",0,"National League","NL Central"
"2023-06-06",717882,"night","Minnesota Twins",0,"American League","AL Central"
"2023-06-06",717875,"night","Detroit Tigers",0,"American League","AL Central"
"2023-06-06",717876,"night","Kansas City Royals",0,"American League","AL Central"
"2023-06-06",717881,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-06-06",717874,"night","Oakland Athletics",1,"American League","AL West"
"2023-06-06",717877,"night","Chicago White Sox",1,"American League","AL Central"
"2023-06-06",717871,"night","Houston Astros",0,"American League","AL West"
"2023-06-06",717873,"night","Boston Red Sox",1,"American League","AL East"
"2023-06-06",717870,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-06-06",717872,"night","New York Mets",0,"National League","NL East"
"2023-06-06",717867,"night","Baltimore Orioles",0,"American League","AL East"
"2023-06-06",717868,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-06",717869,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-06",717861,"night","Chicago Cubs",0,"National League","NL Central"
"2023-06-06",717864,"night","Seattle Mariners",1,"American League","AL West"
"2023-06-07",717865,"day","Oakland Athletics",1,"American League","AL West"
"2023-06-07",717863,"day","Seattle Mariners",0,"American League","AL West"
"2023-06-07",717860,"night","Kansas City Royals",0,"American League","AL Central"
"2023-06-07",717859,"night","Minnesota Twins",0,"American League","AL Central"
"2023-06-07",717866,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-06-07",717856,"night","Houston Astros",0,"American League","AL West"
"2023-06-07",717858,"night","Boston Red Sox",0,"American League","AL East"
"2023-06-07",717853,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-06-07",717850,"night","New York Mets",0,"National League","NL East"
"2023-06-07",717851,"night","Baltimore Orioles",0,"American League","AL East"
"2023-06-07",717854,"night","St. Louis Cardinals",1,"National League","NL Central"
"2023-06-07",717852,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-07",717855,"night","Chicago Cubs",0,"National League","NL Central"
"2023-06-08",717844,"day","Los Angeles Dodgers",1,"National League","NL West"
"2023-06-08",717845,"day","Minnesota Twins",0,"American League","AL Central"
"2023-06-08",717849,"day","Baltimore Orioles",1,"American League","AL East"
"2023-06-08",717846,"day","San Francisco Giants",1,"National League","NL West"
"2023-06-08",717848,"night","Chicago White Sox",1,"American League","AL Central"
"2023-06-08",717857,"night","Chicago White Sox",0,"American League","AL Central"
"2023-06-08",717862,"night","Detroit Tigers",0,"American League","AL Central"
"2023-06-08",717843,"night","Houston Astros",0,"American League","AL West"
"2023-06-08",717842,"night","Boston Red Sox",0,"American League","AL East"
"2023-06-08",717840,"night","New York Mets",0,"National League","NL East"
"2023-06-08",717838,"night","Chicago Cubs",0,"National League","NL Central"
"2023-06-09",717834,"night","Arizona Diamondbacks",1,"National League","NL West"
"2023-06-09",717827,"night","Texas Rangers",0,"American League","AL West"
"2023-06-09",717839,"night","Kansas City Royals",0,"American League","AL Central"
"2023-06-09",717836,"night","New York Mets",0,"National League","NL East"
"2023-06-09",717837,"night","Los Angeles Dodgers",0,"National League","NL West"
"2023-06-09",717841,"night","Boston Red Sox",1,"American League","AL East"
"2023-06-09",717835,"night","Minnesota Twins",1,"American League","AL Central"
"2023-06-09",717833,"night","Houston Astros",0,"American League","AL West"
"2023-06-09",717829,"night","Washington Nationals",0,"National League","NL East"
"2023-06-09",717828,"night","Miami Marlins",0,"National League","NL East"
"2023-06-09",717831,"night","Oakland Athletics",1,"American League","AL West"
"2023-06-09",717832,"night","Cincinnati Reds",0,"National League","NL Central"
"2023-06-09",717830,"night","San Diego Padres",1,"National League","NL West"
"2023-06-09",717824,"night","Seattle Mariners",0,"American League","AL West"
"2023-06-09",717823,"night","Chicago Cubs",1,"National League","NL Central"
"2023-06-10",717821,"day","Arizona Diamondbacks",1,"National League","NL West"
"2023-06-10",717820,"day","Miami Marlins",1,"National League","NL East"
"2023-06-10",717817,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-06-10",717822,"day","Minnesota Twins",1,"American League","AL Central"
"2023-06-10",717819,"day","San Diego Padres",1,"National League","NL West"
"2023-06-10",717818,"day","Kansas City Royals",0,"American League","AL Central"
"2023-06-10",717812,"day","New York Mets",1,"National League","NL East"
"2023-06-10",717811,"day","Los Angeles Dodgers",1,"National League","NL West"
"2023-06-10",717813,"day","Texas Rangers",1,"American League","AL West"
"2023-06-10",717816,"day","Washington Nationals",0,"National League","NL East"
"2023-06-10",717814,"day","Oakland Athletics",1,"American League","AL West"
"2023-06-10",717815,"night","Houston Astros",1,"American League","AL West"
"2023-06-10",717826,"day","Chicago Cubs",1,"National League","NL Central"
"2023-06-10",717825,"night","Boston Red Sox",0,"American League","AL East"
"2023-06-10",717809,"night","Seattle Mariners",1,"American League","AL West"
"2023-06-11",717804,"day","Arizona Diamondbacks",1,"National League","NL West"
"2023-06-11",717802,"day","Houston Astros",0,"American League","AL West"
"2023-06-11",717808,"day","Kansas City Royals",0,"American League","AL Central"
"2023-06-11",717803,"day","New York Mets",0,"National League","NL East"
"2023-06-11",717806,"day","Los Angeles Dodgers",0,"National League","NL West"
"2023-06-11",717807,"day","Washington Nationals",1,"National League","NL East"
"2023-06-11",717805,"day","Minnesota Twins",0,"American League","AL Central"
"2023-06-11",717801,"day","Texas Rangers",0,"American League","AL West"
"2023-06-11",717795,"day","Miami Marlins",1,"National League","NL East"
"2023-06-11",717800,"day","Oakland Athletics",1,"American League","AL West"
"2023-06-11",717797,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-06-11",717798,"day","San Diego Padres",0,"National League","NL West"
"2023-06-11",717796,"day","Chicago Cubs",0,"National League","NL Central"
"2023-06-11",717799,"day","Seattle Mariners",0,"American League","AL West"
"2023-06-11",717810,"night","Boston Red Sox",1,"American League","AL East"
"2023-06-12",717790,"night","Atlanta Braves",0,"National League","NL East"
"2023-06-12",717794,"night","Colorado Rockies",1,"National League","NL West"
"2023-06-12",717791,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-12",717792,"night","Los Angeles Angels",1,"American League","AL West"
"2023-06-12",717793,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-06-12",717789,"night","Tampa Bay Rays",0,"American League","AL East"
"2023-06-12",717785,"night","Philadelphia Phillies",0,"National League","NL East"
"2023-06-12",717786,"night","Miami Marlins",0,"National League","NL East"
"2023-06-13",717787,"night","Toronto Blue Jays",0,"American League","AL East"
"2023-06-13",717788,"night","Colorado Rockies",1,"National League","NL West"
"2023-06-13",717779,"night","New York Yankees",1,"American League","AL East"
"2023-06-13",717783,"night","Milwaukee Brewers",0,"National League","NL Central"
"2023-06-13",717781,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-13",717782,"night","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-13",717780,"night","Los Angeles Angels",1,"American League","AL West"
"2023-06-13",717777,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-06-13",717778,"night","Washington Nationals",0,"National League","NL East"
"2023-06-13",717772,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-13",717774,"night","Tampa Bay Rays",0,"American League","AL East"
"2023-06-13",717775,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-06-13",717773,"night","Miami Marlins",0,"National League","NL East"
"2023-06-13",717776,"night","Chicago White Sox",0,"American League","AL Central"
"2023-06-14",717770,"day","Atlanta Braves",1,"National League","NL East"
"2023-06-14",717784,"day","Atlanta Braves",1,"National League","NL East"
"2023-06-14",717771,"day","Milwaukee Brewers",0,"National League","NL Central"
"2023-06-14",717767,"day","San Francisco Giants",1,"National League","NL West"
"2023-06-14",717769,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-06-14",717768,"night","Colorado Rockies",0,"National League","NL West"
"2023-06-14",717766,"night","New York Yankees",0,"American League","AL East"
"2023-06-14",717763,"night","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-14",717765,"night","Los Angeles Angels",0,"American League","AL West"
"2023-06-14",717764,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-06-14",717762,"night","Washington Nationals",0,"National League","NL East"
"2023-06-14",717758,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-14",717761,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-06-14",717757,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-06-14",717759,"night","Miami Marlins",1,"National League","NL East"
"2023-06-14",717760,"night","Chicago White Sox",1,"American League","AL Central"
"2023-06-15",717753,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-06-15",717756,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-06-15",717755,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-06-15",717752,"night","Detroit Tigers",1,"American League","AL Central"
"2023-06-15",717754,"night","Colorado Rockies",0,"National League","NL West"
"2023-06-15",717747,"night","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-15",717751,"night","Los Angeles Angels",1,"American League","AL West"
"2023-06-15",717746,"night","Washington Nationals",1,"National League","NL East"
"2023-06-15",717750,"night","Cleveland Guardians",1,"American League","AL Central"
"2023-06-15",717748,"night","Chicago White Sox",0,"American League","AL Central"
"2023-06-16",717744,"day","Baltimore Orioles",0,"American League","AL East"
"2023-06-16",717749,"night","Miami Marlins",1,"National League","NL East"
"2023-06-16",717743,"night","St. Louis Cardinals",0,"National League","NL Central"
"2023-06-16",717742,"night","New York Yankees",0,"American League","AL East"
"2023-06-16",717745,"night","Colorado Rockies",0,"National League","NL West"
"2023-06-16",717741,"night","Toronto Blue Jays",1,"American League","AL East"
"2023-06-16",717737,"night","Cincinnati Reds",1,"National League","NL Central"
"2023-06-16",717736,"night","Los Angeles Angels",1,"American League","AL West"
"2023-06-16",717738,"night","Detroit Tigers",1,"American League","AL Central"
"2023-06-16",717740,"night","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-16",717739,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-16",717732,"night","Tampa Bay Rays",1,"American League","AL East"
"2023-06-16",717735,"night","Philadelphia Phillies",1,"National League","NL East"
"2023-06-16",717731,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-16",717733,"night","Chicago White Sox",0,"American League","AL Central"
"2023-06-17",717728,"day","Detroit Tigers",0,"American League","AL Central"
"2023-06-17",717729,"day","Baltimore Orioles",0,"American League","AL East"
"2023-06-17",717723,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-06-17",717734,"day","Miami Marlins",1,"National League","NL East"
"2023-06-17",717725,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-06-17",717727,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-06-17",717726,"day","Los Angeles Angels",0,"American League","AL West"
"2023-06-17",717718,"day","St. Louis Cardinals",1,"National League","NL Central"
"2023-06-17",717724,"day","Colorado Rockies",0,"National League","NL West"
"2023-06-17",717722,"day","Chicago White Sox",1,"American League","AL Central"
"2023-06-17",717720,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-17",717717,"day","Tampa Bay Rays",0,"American League","AL East"
"2023-06-17",717721,"night","San Francisco Giants",1,"National League","NL West"
"2023-06-17",717719,"night","Cleveland Guardians",0,"American League","AL Central"
"2023-06-18",717708,"day","Baltimore Orioles",1,"American League","AL East"
"2023-06-18",717716,"day","Colorado Rockies",0,"National League","NL West"
"2023-06-18",717714,"day","Miami Marlins",1,"National League","NL East"
"2023-06-18",717730,"day","New York Yankees",0,"American League","AL East"
"2023-06-18",717715,"night","New York Yankees",0,"American League","AL East"
"2023-06-18",717713,"day","St. Louis Cardinals",1,"National League","NL Central"
"2023-06-18",717707,"day","Cincinnati Reds",1,"National League","NL Central"
"2023-06-18",717712,"day","Los Angeles Angels",1,"American League","AL West"
"2023-06-18",717711,"day","Detroit Tigers",1,"American League","AL Central"
"2023-06-18",717710,"day","Pittsburgh Pirates",0,"National League","NL Central"
"2023-06-18",717709,"day","Toronto Blue Jays",0,"American League","AL East"
"2023-06-18",717705,"day","Philadelphia Phillies",1,"National League","NL East"
"2023-06-18",717706,"day","Cleveland Guardians",1,"American League","AL Central"
"2023-06-18",717702,"day","San Francisco Giants",1,"National League","NL West"
"2023-06-18",717703,"day","Tampa Bay Rays",0,"American League","AL East"
"2023-06-18",717704,"day","Chicago White Sox",0,"American League","AL Central"
"2023-03-30",718780,"day","Washington Nationals",0,"National League","NL East"
"2023-03-30",718781,"day","New York Yankees",1,"American League","AL East"
"2023-03-30",718782,"day","Boston Red Sox",0,"American League","AL East"
"2023-03-30",718777,"day","Chicago Cubs",1,"National League","NL Central"
"2023-03-30",718776,"day","Tampa Bay Rays",1,"American League","AL East"
"2023-03-30",718779,"day","Texas Rangers",1,"American League","AL West"
"2023-03-30",718773,"day","Cincinnati Reds",0,"National League","NL Central"
"2023-03-30",718772,"day","St. Louis Cardinals",0,"National League","NL Central"
"2023-03-30",718775,"day","Kansas City Royals",0,"American League","AL Central"
"2023-03-30",718774,"day","Miami Marlins",0,"National League","NL East"
"2023-03-30",718768,"night","Houston Astros",0,"American League","AL West"
"2023-03-30",718778,"night","San Diego Padres",0,"National League","NL West"
"2023-03-30",718769,"night","Oakland Athletics",1,"American League","AL West"
"2023-03-30",718770,"night","Los Angeles Dodgers",1,"National League","NL West"
"2023-03-30",718767,"night","Seattle Mariners",1,"American League","AL West"
